HotelCode|RoomAmenities
138784|Daily housekeeping,Balcony
138785|TEL,TOUR,AIRCON,TDDTEL,TVCAB,WAKEUP,STMBTH,PRKNG,MINBAR,ALRMCK,AVEQUP,BEAUTY,INTHS,HAIR,SMKDET,BUSCTR,COFMKR,SAFE,POOL,CRIB,LDRYMT,BAR,TVSAT,REST,GYM,TRNDWN,SAFDEP,IRON,ENTMNT,TMPCTL
139938|PHSPKR,DESK24,AIRCON,WAKEUP,ALRMCK,MINBAR,SPA,BARBER,EXCKOT,ROOM,BUSCTR,ELECDR,RADIO,GIFT,CURREX,ICEMCH,LOUNGE,COMPUT,CRIB,PRKRV,REST,BELL,KENNEL,GYM,MTGFAC,POOLIN,DOCTOR,SAFDEP,WCHR,JOGTRK,AIRLIN,SECURE,HAC47,SHOP,CNFFAC,EXCKIN,TVCAB,NWSPPR,PRKTRK,BABY,COFFEE,INTHS,CONDSK,HAIR,EXLEVL,TPRESS,SITTNG,COFMKR,SAFE,POOL,LDRYMT,IRONBD,BAR,FPRKNG,PRKOUT,TRNDWN,FRCLLS,NTECLB,NSMK,BTHTEL
139939|ELEV,CNFFAC,RMA207,ORBSPA,POOLOT,TENNIS,DISABL,BEAUTY,BABY,INTHS,HEALTH,BUSCTR,GIFT,CURREX,POOL,RMPACC,LANDRY,BAR,REST,HAC222,ROOM24,MTGFAC,DOCTOR,SAFDEP,NTECLB,BRALEL,CONLEV,NSMK
140312|FLORST,TV,OVRPRJ,PHSPKR,DVD,TOUR,SHOP,HAC47,ADPTRS,WHTBRD,POOLOT,NWSPPR,BIDET,PRKNG,MINBAR,BABY,BEAUTY,BATH,INTHS,CONDSK,ROOM,PRKVAL,EXLEVL,HAIR,BUSCTR,MADSVC,FAX,GIFT,ICEMCH,CURREX,LOUNGE,IRONBD,DSKLMP,CRIB,BAR,TVSAT,FPRKNG,REST,BELL,TRNDWN,CAR,KIDACT,SAFDEP,ENTMNT,TMPCTL
141010|CELTEL,CNTBRK,TV,FAP,DINEGD,DESK24,AIRCON,SPRINK,WAKEUP,POOLOT,BIDET,ALRMCK,AVEQUP,MINBAR,DISABL,BATH,SPA,BARBER,ORBBRK,ROOM,HEALTH,SMKDET,ELECDR,BUSCTR,MADSVC,RADIO,GIFT,CURREX,HAC116,DSKLMP,CRIB,LANDRY,REST,BELL,MTGFAC,CAR,DOCTOR,KIDACT,SAFDEP,SECURE,AIRLIN,TMPCTL,MAP,IDD,FAMILY,TOUR,HAC47,ELEV,CNFSTE,CNFFAC,ATM,CPSVC,NWSPPR,TENNIS,GOLF,SECU24,BABY,COFFEE,SAUNA,CONDSK,HAIR,EXLEVL,FISH,CMPRTL,FAX,COFMKR,SAFE,POOL,PLYGRD,BAR,SCUBA,FPRKNG,ROOM24,TRNDWN,BOATNG,POOLHT,NTECLB,AP,NSMK,BB,BTHTEL
141011|TOUR,ORBWLS,PHY42,HAC47,ELEV,CNFFAC,RMA207,ORBSPA,POOLOT,TENNIS,PHY50,DISABL,SPA,INTHS,ROOM,HAC142,HEALTH,PHY28,BUSCTR,GIFT,CURREX,HAC116,POOL,HAC141,ORBSHT,LANDRY,BAR,FPRKNG,REST,HAC222,ROOM24,HAC138,MTGFAC,SAFDEP,WCHR,NSMK,CONLEV
141176|TOUR,ORBWLS,ELEV,CNFFAC,ORBSPA,POOLOT,TENNIS,BEAUTY,SPA,INTHS,ROOM,HEALTH,BUSCTR,GIFT,CURREX,POOL,LANDRY,REST,FPRKNG,ROOM24,MTGFAC,DOCTOR,SAFDEP,NSMK,CONLEV
141177|Room service (24 hours),Premium bedding
141178|POOLOT,BUSCTR,SAFDEP,ORBWLS,POOL,CNFFAC,INTHS,REST,CONLEV,FPRKNG,ROOM,HEALTH
143642|The medium-sized rooms are tastefully appointed and equipped with satellite television, mini-bar and direct-dial telephone. All are in good condition.  Standard Rooms offer 01 large or 02 single beds with wired and Wi-Fi internet access in rooms, tea/coffee maker, 2 mineral water bottles, work desk, voice mail, IDD telephones, multi channel TV, in-room safe, iron &amp; board, mini bar, individual temperature control, electronic door locks &amp; smoke detectors.
143643|Small to Medium in size well decorated with a small sitting area, dressing  table and ceramic bath.
143774|Pay movies
146256|Desk
146258|TOUR,ORBWLS,PHY42,HAC47,ELEV,CNFFAC,POOLOT,TENNIS,BEAUTY,BABY,DISABL,SPA,INTHS,ROOM,PHY28,BUSCTR,GIFT,CURREX,HAC116,POOL,LANDRY,REST,FPRKNG,BAR,ROOM24,MTGFAC,DOCTOR,SAFDEP,WCHR,NSMK,CONLEV
