HotelCode|PropertyAmenities
171985|Air conditioning in public areas,24-hour reception,Hotel safe,Currency exchange facilities,Cloakroom,Lift access,Mobile phone coverage,Wired Internet,Check-in hour,Room service,Laundry service,Medical service,Check-out hour,Gym,Babysitting service,Transfer service,Multilingual staff,NO Large pets allowed (over 5 kg),NO Small pets allowed (under 5 kg),NO Garage,YES Car park,YES Wheelchair-accessible,Bathroom,Shower,Bathtub,Hairdryer,Direct dial telephone,TV,Internet access,Kitchenette,Minibar,Mini fridge,Microwave,Tea and coffee making facilities ,Ironing set,Double bed,King-size bed 150-183 width,Centrally regulated air conditioning,Safe,Living room,NO Smoking rooms,NO Disability-friendly bathroom,NO Wheelchair-accessible
171987|Be sure to enjoy recreational amenities, including a health club, an outdoor pool, and a sauna. Additional features include wireless Internet access (surcharge), gift shops/newsstands, and wedding services. Getting to the surf and sand is a breeze with the complimentary beach shuttle.
171988|Take advantage of recreation opportunities such as a nightclub, or other amenities including wireless Internet access (surcharge) and concierge services. This hotel also features an arcade/game room and barbecue grills. Guests can catch a ride to nearby destinations on the area shuttle (surcharge).
171992|Gift shops or newsstand,Airport transportation (surcharge),Coffee/tea in common areas,Multilingual staff,Free WiFi
171993|laundry service,outdoor pool,restaurant,room service,tours
171994|Concierge services,Total number of rooms - ,Breakfast available (surcharge),Coffee shop or café,Safe-deposit box at front desk
172641|Outdoor pool,Coffee shop or café,WiFi (surcharge),Luggage storage
172642|Business center,Designated smoking areas,Rooftop terrace
172699|Take advantage of recreational opportunities offered, including a nightclub, a health club, and an outdoor pool. Additional amenities include complimentary wireless Internet access, concierge services, and tour/ticket assistance.
172700|Air conditioning in public areas,24-hour reception,Hotel safe,Currency exchange facilities,Mobile phone coverage,Wired Internet,Laundry service,Medical service,Bicycle storage,Bicycle hire service,NO Large pets allowed (over 5 kg),NO Small pets allowed (under 5 kg),NO Garage,NO Car park,NO Wheelchair-accessible,Bathroom,Direct dial telephone,Kitchenette,Fridge,Centrally regulated air conditioning,Central heating,Safe,Living room
172701|Number of buildings/towers - ,Breakfast available (surcharge),Coffee shop or café,Safe-deposit box at front desk,Turkish bath/Hammam,Babysitting or childcare (surcharge)
172719|Safe-deposit box at front desk,Sauna,Express check-in
172720|Business center,Free WiFi,24-hour health club
172721|Free newspapers in lobby,Sauna
173045|Restaurant,Outdoor pool,Coffee shop or café,Smoke-free property,Luggage storage
173109|Gift shops or newsstand,Multilingual staff,Number of meeting rooms -
173569|business center,elevator,laundry service,room service
173570|business center,elevator,laundry service
173571|Restaurant,Smoke-free property,24-hour business center,Luggage storage
173572|Enjoy the recreation opportunities such as a fitness center or make use of other amenities including complimentary wireless Internet access.
173573|Concierge services,Express check-out,Sauna,Free grocery shopping service
173726|Enjoy a range of recreational amenities, including an outdoor pool, a sauna, and a fitness center. This apartment also features wireless Internet access (surcharge), a hair salon, and tour/ticket assistance.
173747|Designated smoking areas
174297|Total number of rooms - ,Conference space,Free newspapers in lobby,Porter/bellhop,Free valet parking
174571|Air conditioning,Restaurant(s),Safe,Swimming pool(s),Telephone,Television,Lift/Elevator
174572|Laundry facilities
174727|Breakfast available (surcharge),Health club,Snack bar/deli
174732|Laundry facilities,Tours/ticket assistance
178156|Airport transportation (surcharge),Express check-out,Wedding services,Number of restaurants - ,Free shopping center shuttle,Beach umbrellas
178723|Restaurant,Computer station,Luggage storage
178788|Take advantage of recreational opportunities offered, including an outdoor pool, a sauna, and a steam room. Additional features at this Art Deco hotel include wireless Internet access (surcharge), concierge services, and supervised childcare/activities. If you'd like to spend the day shopping, you can hop on the complimentary shuttle.
178874|Be sure to enjoy recreational amenities, including a health club, an outdoor pool, and a sauna. Additional amenities include wireless Internet access (surcharge), concierge services, and gift shops/newsstands. The complimentary shuttle will take you to the nearby beach or shopping center.
178875|Health club,Year Built
178934|Elevator/lift,Hair salon,Free newspapers in lobby,Full-service spa,Sauna,Designated smoking areas,Pool sun loungers
179087|Business center,Limo or Town Car service available,Free WiFi
179118|Indoor pool,Concierge services,Safe-deposit box at front desk
179446|Beauty parlour,Car parking (Payable to hotel, if applicable),Early check-in,Gymnasium,Coach parking,Lifts,Lobby,Outdoor pool,Porterage,Room Service,Sauna,Air conditioning,In-house movie,Internet via television,Mini bar,Satellite television,Television,Voltage
